tweet,length,label
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISISohail Abro Chairman JSFM         ,245,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jeay Sindh Freedom Movement  Twenty female workers and more than a hundred workers named fifty JSFM workers have been forcibly disappeared by ISISohail Abro Chairman JSFM       ,245,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISI  Sohail Abro Chairman Jeay Sindh Freedom Movement    ,264,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISI  Sohail Abro  Chairman      ,239,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement  Twenty female workers and more than a hundred workers named fifty JSFM workers have been forcibly disappeared by ISI Sohail Abro Chairman JSFM    ,242,1
    They are innocent civilian teachers yet you sympathize with terrorists attacks like this one  Pakistan army and ISI will continue to eradicate BLA terrorists until there are no more left,193,0
The lota DG ISI has no concern of the terror incidents occurring with greater frequency nor does he care about terrorists promoting themselves on social media Hes only concerned about propping up the puppet regime of Showbaz Sharif,234,1
   ap logo ko khuda ka wasta ha khan ko wapis lai or in sb terrorist se nimte  PTI ke supporters wo waahid community ha jo army ko support krti ha  jis ne bhi regime change ki ha wo isi liye ki ha ke CPEC khatam ho or russia se trade na ho,239,0
While Pakistani State and ISI committed 2611 Mumbai terrorist attacks which killed much more Pakistan still give refuge to Dawood Ibrahim Tiger Memon who are masterminds of 1993Mumbai serial bomb blasts   ,213,1
  By the way they werre trained by Terrorist not by ISI only sponsored by ISI,77,1
   ISI is not whole pakistan idiot you mean Innocent peoples of pakistan are also terrorist grow up kid Jabse ye modi Aaya hai tabse Indian logo ki soch batt se battar hogai hai  Ghatiya soch ke log Bc,201,0
  Yeh sab baat mujhse better koi nahi samajh saktha  My father and Big brother is serving in Indian Airforce at Pathankot and Jodhpur airbase respectively Terrorist are getting funds from ISI They are getting trained from Pakistan ISI Better u dont argue,258,1
   Kashmiri terrorists are freedom fighters cz they are funded by ISI Bt Balochistan Freedom Fighters r terrorists How did you define n differentiate between these two pls explain,188,1
 First of all I dont support BJP but 2611 was planned by ISI CIA and few members of Congress and they asked the terrorist to wear hindu thread so they can prove through their dead bodies that they were hindu terrorist so that congress gets a valid reason to ban RSS easily,275,1
   ImraanTaleban Khan holds a clout within terrorist organizations in Pakistan With ISI backing he can take a revenge on Chinese who outsted him from PMs office To sound it like a BLA attack ISI can release fake vedio showing BLA claiming the attack,255,1
