,tweet,lenght,label
0,  Dont worry about Kashmir  its our baby  Pakistan is declared by FATF as Terrorist state amp not India  In the name of Kashmir ISI amp rouge Pak Army is taking you guys through garden path  In India people have the power to throw out a Govt ,242,1
1,  The world knows that Pakistan is in itself a terrorist state run by the toons of the ISI and the Pakistan Army Kashmir went to flames at the behest of Pakistan in 1989 when BJP was not anywhere near power of Delhi and is still burning and shall keep so till Pak fuels it,272,1
3,We do not need your sympathy but controlling  THUGs   ,54,0
4, Pakistan is a terrorist state yesterdays terrorist TTP is going to reconcile with ISI we highly condemn all relations among states and terrorist groups ISIPak Army ISISTerrorist,178,1
5,   was brought to the power by Pak Army and ISI to destroy Pashtoons Thats why he won in KPK first and then in Federal   for Pakistan is a terrorist state  ,156,1
6, A country who harbours nurtures helps terrorists since ages is a terrorist state  ISI PAK ARMY help  terrorists infiltrate Bottomline  pakistan is a terrorist state and  is a TERRORIST    ,189,1
7,American strategists thought they can defeat Taliban in partnership with Pakistan 3 trillion was wasted on a duplicitous Pak Army n ISI If they asked Tajikistan for supply routes it wouldve worked out better Declare Pak terrorist state Impose sanctions  ,254,1
8, This is the real face of  Terrorist state now its time to revert back and a strong reply should be given to   Army  This   of Pak army amp ISI only understand one language that is Brutal war,191,1
9,  ISI         Taliban are the ISI amp Pak army murdering machine to kill Pashtuns    ,85,1
10,  Instead of declaring PAK a terrorist state Indian Government is giving lifeline  to Pak Army ISI n Terror groups Pakistan was is n will be an enemy to India n ally to China,174,1
11,     The rapist Pak army and ISI are doing genocide in Balochistan  They are kidnapping innocent and raping their womens  Plz raise the voice for my brothers stuck in terrorist state Pakistan      ,197,1
12,Pakistan zindabad  ISI zindabad  Pak army zindabad  we are the only airforce to have shit down Israeli airforce  Israel is a terrorist state ,141,0
13,  Get lost loser Your drama of saying Terrorism in Pakistan is over Terrorists like Kalbhushan and other RAW and RSS  Now save your Terrorist state of India frm RSS and other Terrorist groups  Pakistan Zindabad  PakArmy Zindabad  ISI Zindabad,242,0
14,  Dont worry about Kashmir  its our baby  Pakistan is declared by FATF as Terrorist state amp not India  In the name of Kashmir ISI amp rouge Pak Army is taking you guys through garden path  In India people have the power to throw out a Govt ,242,1
15,India bombed terrorist camps in POK in retaliation against Pulwama But real master is pak army  Long term Solution  Economic sanctions Baluchistan govt in exile FATF blacklisting Diplomatic isolation Terrorist list to include pak armyISI Pakistan declared Terrorist state,271,1
16, Imran has already accepted that Pak army and ISI had trained the talibani terroristsBin laden was working for Pakistan Pakistan is truly a terrorist statethey should learn from PM Modihow to develop any nation,210,1
17,  The world knows that Pakistan is in itself a terrorist state run by the toons of the ISI and the Pakistan Army Kashmir went to flames at the behest of Pakistan in 1989 when BJP was not anywhere near power of Delhi and is still burning and shall keep so till Pak fuels it,272,1
18,Biggest Victory of Pakistan on International PlatformBig Slap on the face of India terrorist state and RAWKulbhushan Jadhav a decleared Indian spy and a terrorist by ICJ Salute to PAK ARMYISI  IMRAN KHAN      ,209,0
19, Baba Jo bhi ho danke ki chot pe ho Puri duniya ko pata chalna chahye ISI  Pak army  govt or terrorists ka Nexus aur Pakistan ek failed or terrorist state hai,158,1
20,  From decades Pak was denying  and now Pak PM admits its army and ISI  created armed militia or properly saying jihadi terrorist by depriving its ppl of healtheducation basic   is he trying to get Pakistan listed as a Terrorist State worldwide good,249,1
21,Without any second  thought India must declare Pakistan a terrorist State because I dont think the crossborder terror activities of Pakistan towards India will ever be stopped until the Pak Army amp ISI will remains on the driving seat of any democratically elected Govt there  ,278,1
22, Ap andhy ho ya Samajh Kuch nahi aata  Yeh BLA Balochistan liberation army ki terrorist thi Jo Pakistan ky khilaaf lar rahy Hain or terrorism phela rahy Hain riyasat ka kaam in jeso se mulk ko Pak karna hai yeh terrorist bani isme riyasat ka kasur ,248,0
23,     Baloch area isnt directly connected to afghanistan for terrorist to hide Pak army has specifically mentioned many times that they ran away to Iran side of border Why will taliban take orders of CIA US left ammo so Now it doesnt ahs control over them,254,0
24, You are also a hypocrite by only blaming them and not what Pak Army did with them in Baluchistan You justify everything that the Pak Army did wrong by calling terrorists Recently 40 civilians were killed in Afghanistan by Pak Armys strike,239,1
25,Two Pak Army soldiers martyred during gun battle with terrorists in South Waziristan ISPR  ,91,0
26,  Fake ID heres a Thing Suicide is Haram in Islam Killing Innocent people is also Haram in Islam Spreading Terror in blessed month is Forbidden by the One true God Allah swt  So theres no way this Terrorist will find a way to enter Paradise,240,0
27, Adha sa zyda comments sala shameless country begerat log india ka han jus sa ya zahir hota ka TTP or BLA ko funding india kr rha  Allah kra mumbai man terrorist attacks hon phir tumari chekhan niklan gi insalon ka sath to pak army or awam nimat la gi,251,0
28,BLA used to carry out such attacks due to its separatist claim But now rise in TTP styled terrorist attacks particularly suicide bombings targeting CPEC amp Pak Army is indicative of BLATTP Nexus as Baloch separatists donot have history of using suicide bombers previously  6,275,0
29, Very sad incident  I hope pak army will deal with those terrorists BLA,71,0
30, First of i am deeply saddened by this we Pakistanis are your brothers secondly baloch liberation army or bla isnt an army its a terrorist organization that will In Sha Allah be taken down by Pak Army you are well informed about cia involvement in Pak ,252,0
31,   Abe vineet chutiye ye pakistani nh hai ye afghani ya balock terrorist hai pak army to khud inko maarti hai kese chutiye indian log ho tum wese abi nandan ko yd kro bad tum log Pakistan army ka muqabla to door ki bt hai ,222,0
32,Terrorists from Afghanistan attack Dewagar area of North Waziristan  8 young martyrs including three officers of Pak army  Pakistans strong protest with the Afghan government  Demand for implementation of Doha Agreement  Afghan soil must be cleared of terrorists Pakistan  ,273,0
33, Sorry doesnt even cut it Pak must be serious about combating this All high target areas and people must be on highest alert The female terrorist has a family all must be exposed on TV We need to know who she associated with in last year Hunt them all down Army needs act ,272,0
34,when corrupt tola imposed over the country again terrorism is speeding up across the country At least 40 plus army  have been martyred since 1april   Two Pak Army soldiers martyred during gun battle with terrorists in South Waziristan ISPR  ,241,0
35,Pakistan and China came without their consent but what about India who is giving money and arms to these idiots It is time for the Pak army to lunch commando operations against these terrorists and wipe them about for good,222,0
36,Suicide bombing to blow oneselves up is an act that Islamic terrorists do She took others lives too Labelling it out of desperation is justifying it This is NOT okay I feel the pain of Baloch amp what Pak army is doing But they are doing what they learnt from Islam,265,0
